# sample output
# class_label soft_membership
1 0.39
3 0.49
0 0.32
3 0.35
2 0.24
1 0.26
0 0.29
3 0.27
0 0.33
2 0.32
0 0.32
3 0.28
4 0.35
2 0.24
3 0.31
1 0.28
1 0.40
0 0.36
3 0.29
2 0.49
3 0.35
2 0.24
1 0.31
1 0.45
1 0.26
4 0.41
1 0.76
0 0.23
3 0.67
3 0.43
2 0.30
2 0.28
3 0.27
2 0.38
4 0.31
1 0.41
0 0.22
0 0.37
3 0.30
2 0.31
1 0.45
2 0.34
3 0.37
1 0.33
3 0.26
0 0.42
4 0.28
3 0.23
4 0.24
3 0.34
2 0.42
1 0.38
0 0.29
2 0.36
1 0.43
1 0.39
3 0.35
1 0.41
2 0.44
3 0.31
4 0.31
4 0.35
1 0.40
0 0.44
1 0.36
1 0.32
3 0.31
0 0.37
2 0.49
3 0.53
0 0.36
4 0.27
0 0.43
4 0.31
0 0.26
2 0.30
2 0.42
2 0.39
0 0.33
1 0.29
4 0.35
1 0.38
3 0.33
1 0.30
4 0.28
4 0.33
4 0.28
0 0.39
2 0.30
1 0.35
4 0.29
2 0.34
4 0.26
2 0.30
3 0.32
0 0.35
4 0.34
1 0.44
4 0.30
1 0.31
0 0.30
1 0.30
3 0.35
0 0.39
3 0.37
1 0.34
1 0.38
0 0.35
4 0.27
3 0.25
4 0.25
1 0.29
3 0.36
0 0.30
0 0.35
2 0.33
2 0.60
4 0.43
2 0.35
2 0.32
4 0.33
4 0.42
0 0.30
2 0.41
3 0.36
3 0.26
2 0.27
1 0.30
2 0.33
1 0.36
1 0.27
0 0.33
4 0.36
0 0.30
2 0.28
0 0.32
3 0.33
0 0.26
1 0.35
0 0.37
1 0.41
4 0.37
4 0.36
2 0.41
0 0.36
1 0.34
1 0.38
1 0.33
4 0.38
1 0.30
0 0.26
3 0.37
3 0.29
0 0.33
1 0.21
1 0.31
0 0.42
1 0.29
4 0.32
4 0.42
4 0.38
4 0.33
0 0.31
3 0.23
4 0.37
3 0.50
1 0.28
3 0.29
0 0.46
0 0.30
4 0.25
1 0.47
4 0.23
3 0.35
1 0.34
1 0.43
4 0.36
3 0.48
0 0.50
3 0.28
1 0.37
4 0.48
0 0.32
2 0.38
3 0.31
3 0.55
4 0.30
1 0.30
2 0.32
4 0.27
4 0.37
4 0.48
1 0.35
2 0.54
1 0.34
2 0.34
1 0.25
4 0.29
4 0.35
0 0.32
1 0.26
1 0.40
4 0.34
2 0.39
4 0.31
3 0.38
4 0.36
0 0.55
0 0.28
4 0.40
1 0.40
0 0.29
4 0.34
4 0.39
1 0.34
1 0.25
2 0.30
2 0.54
1 0.36
3 0.38
4 0.37
1 0.37
0 0.32
3 0.30
3 0.28
1 0.40
3 0.26
0 0.26
3 0.23
3 0.30
1 0.47
3 0.31
4 0.33
1 0.43
3 0.31
1 0.40
4 0.51
0 0.64
0 0.34
1 0.37
3 0.31
4 0.32
2 0.39
4 0.35
3 0.37
0 0.29
2 0.52
3 0.38
2 0.60
1 0.38
3 0.46
2 0.35
0 0.40
1 0.31
1 0.48
3 0.30
4 0.35
4 0.27
2 0.32
0 0.27
3 0.37
4 0.24
0 0.31
0 0.29
2 0.39
4 0.28
1 0.35
4 0.28
1 0.38
0 0.28
2 0.38
0 0.31
2 0.31
4 0.40
4 0.38
0 0.25
4 0.29
1 0.37
1 0.38
2 0.31
3 0.35
0 0.46
3 0.31
1 0.22
4 0.33
1 0.41
4 0.42
2 0.24
1 0.33
4 0.34
1 0.27
0 0.51
3 0.45
2 0.37
1 0.35
0 0.37
2 0.32
1 0.28
3 0.35
0 0.35
3 0.22
3 0.29
1 0.44
3 0.46
0 0.34
1 0.46
1 0.37
4 0.40
2 0.43
4 0.30
2 0.37
1 0.43
